관광지,언급량
엠엘피서핑,59
금계캠핑장,141
롤킹롤러스케이트장,28
서산시스케이트장,52
모두휴청소년야영장,48
덕산온천눈썰매장,23
석문체육공원,169
백제보인증센터,148
덕바위눈썰매장,68
청양눈썰매,1282
옥마산활공장,81
서산아라메길1구간,64
금성수로,526
세븐레포츠,205
대호만0번수로,37
강경수상레져,17
원더팜,83
보령요트경기장,81
상록리조트눈썰매장,60
태안솔향기길1코스,5809
대천항아인스월드,25
관풍정,63
천선원,26
한하레저,50
천년의숲길,6563
AR서핑스쿨,19
보령정,20
태안반도5코스,284
태안해변길5코스,37939
천안케이블워터파크,45
만리포서핑스쿨,129
금강수상레저타운,13
예당저수지야영장,51
길성호,39
대천국가대표패러글라이딩,33
배스아지트,81
에코힐링황톳길,100
논산학생롤러경기장,8
헵시바도예마을,11
신정호뉴수상스키장,4
캠피그라운드,12
골드힐카운티,2269
홍무정,9
삽교호,9572
신정호수상레저,49
대천루피호,89
오천루어스쿨,159
천안종합운동장인라인스케이트장,27
서천특화시장,1160
대천항수산시장,1055
안면도수산시장,2732
천안중앙시장,8496
천안농수산물도매시장,534
공주산성시장,2912
서산동부전통시장,319
금산인삼약령시장,85
태안서부시장,962
당진전통시장,1841
계룡대쇼핑타운,94
강경젓갈시장,507
온양온천시장,579
천안시농수산물도매시장,324
삼길포어시장,124
백사장어촌계수산시장,329
몽산포어촌계수산물판매장,94
광천토굴새우젓시장,254
보령중앙시장,217
예산중앙시장,22553
와이몰,1744
부여중앙시장,17872
아우내장터,1208
합덕시장,719
무창포수산물시장,231
삽교호수산물특화시장,28
홍원항어촌계수산물판매장,6
성환이화시장,226
홍성시장,6692
청양시장,32849
홍성5일정기시장,46
유구시장,3649
별빛우물성정시장,18
장항전통시장,671
광천전통시장,369
당진어시장,573
금빛시장,5772
태안동부시장,764
연산시장,15905
역전시장,63977
병천시장,1635
전망대종합어시장,427
부여시장,131068
부여축협가축시장,30
금산수삼시장,498
강경대흥시장,118
천안역전시장,1232
한내시장,571
예산5일장,431
홍성상설시장,132
덕산시장,8187
금산인삼종합쇼핑센터,594
대천어항,260
정산시장,35299
금산인삼국제시장,267
신평시장,3474
온양온천역풍물5일장,172
선영비앤씨,17
공주밤마실야시장,238
금산약초시장,450
갈산장,13621
청과물종합유통센터,5
삽교시장,1031
고덕시장,14905
백마강달밤야시장,144
국일수산어패류,0
연무안심시장,134
태안수산,5644
태봉,6646
둔포축산,77
동부시장,61136
미트밸리,710
홍산전통시장,51
광천정기시장,84
송도수산,2422
웅천장,36
법인우림미트,62
동방생활산업,2397
중앙시장,426464
금산5일장,129
청양가축시장,87
부여5일장,357
청양군산림조합,97
해미시장,2100
폭스캐럿21,14
논산가축시장,102
둔포시장,475
신광상회,207
청양특화시장,334
직산민물수산,5
태안남부수협몽산위판장,0
보령축협가축시장,6
대천5일장,98
판교시장,31936
현대닭집,380
중앙시장,426470
광천가축시장,29
입장시장,389962
당진축협송아지경매시장,88
태안조석시장,31
중앙시장,426470
세정미트,1708
서산가축경매시장,46
관성상회,252
목천가구단지,22
대산종합시장,1599
청양약초구기자시장,27
대신전복수산,1
논산시장약국,447
입장포도직판장,38
한산시장,29265
온양상설시장,105
선화수산,196
기지시장,40455
더마린수산시장,737
태안조석수산물센터,0
한성수산,3163
삽교장,15
한산오일장,676
아산부티크패션타운,7
해미종합시장,228
79푸드컴퍼니,514
온양수산,276
수산물판매장,1926
예산상설시장,984
금산장,60
간월도수산,138
예산시장,116286
상일수산,148
시티아일랜드,135
서산장,33
마전시장,1780
대천항활어판매장,4
산성시장 활성화구역,222
우찬산업,24
형제수산,1172
강경중앙종합시장,1306
사랑수산,31162
양반유통,2699
청림축산,65
거북수산,981
이오수산,1214
현대상가시장,23190
신일수산,1438
비인5일시장,100
농업회사법인금산,243
서부시장,70593
풍년유통,1989
광시시장,649
논산공설시장,112
자유시장,305035
부여장,96
형제수산,1172
권수산,71
갈매기수산,3600
중앙수산,297
동물농장,36707
당진수협수산물회센터,749
복성수산,42
동학사,15212
해미읍성,7618
수덕사,7360
마곡사,6548
공산성,12573
궁남지,7158
현충사,5591
외암리민속마을,765
개심사,4323
간월암,3484
서산유기방가옥,2909
갑사,6809
각원사,2395
안면암,1294
무령왕릉,6040
공주한옥마을,5662
솔뫼성지,1567
광덕사,1480
신원사,1563
낙화암,3457
관촉사,1639
문수사,3283
추사고택,1434
장곡사,1024
서산마애여래삼존상,674
마량리동백나무숲,689
정림사지5층석탑,1431
정림사지,3646
반야사,2501
부소산성,3112
부석사,9804
부소산성,3112
동백정,669
무량사,1773
봉곡사,460
충청수영성,1053
조양문,352
흑성산성,212
칠백의총,368
면천읍성,900
쌍계사,9033
공주무령왕릉과왕릉원,1003
윤정사,97
논산명재고택,734
충의사,892
보석사,541
성불사,2378
유관순열사생가,528
돈암서원,1282
태고사,1111
김좌진장군생가지,148
수리치골성지,110
부여왕릉원,926
개태사,552
향천사,257
부소산성,3112
공주공산성연지,334
미암사,143
맹사성고택,259
봉원암,3
문헌서원,2422
무상사,1523
홍주읍성,763
영탑사,170
이충무공묘소,224
학림사,481
홍주의사총,127
지장정사,1027
한용운선생생가지,106
공주중동성당,572
"종학당(정수루,숙사)",16
견훤왕릉,459
구룡사,3449
남연군묘,805
아산윤보선대통령생가,43
구룡사,3449
성주사지,1240
계백장군유적지,360
청송사,132
서산보원사지,505
모덕사,208
영랑사,98
고란사,1656
계룡산도예촌,125
성곡사,47
서광사,774
공주고마나루,1011
개심사대웅전,536
만수사,197
승천사,268
가림성,518
안흥성,190
안심사,402
흥주사,142
여사울성지,190
왕대사,69
당진필경사,175
서원사,102
안심정사논산본찰,19
신안사,156
천안향교,793
예산성당,3435
법계사,1545
이종일선생생가지,65
백제왕릉원,1331
부여금사리성당,58
태을암,202
논산강경구락부,303
대조사,570
만일사,207
계백장군묘,201
개덕사,127
동자굿당,150
보덕사,738
천안봉선홍경사갈기비,123
계룡산연화당,12
세심사,175
천장사,163
보명사,154
유관순열사유적지,219
금강사,1541
노성산성,306
신경섭가옥,142
김좌진장군묘,103
해미읍성사적116호,146
태안마애삼존불,351
석문각,57
보문사,8397
이동녕선생생가지,78
신원사대웅전,293
개삼터,168
탈해사,187
면천향교,197
천흥사,200
일락사,158
웅비탑,51
정암사,2302
관음해룡사,17
노강서원,362
법륜사,1318
베트남불교원오사,9
인취사,41
온양향교,222
부여정림사지,3335
동혈사,77
원오사,50
수북정,139
박문수묘,158
금산보석사의은행나무,231
도앙골성지,63
광덕사,1480
대승불교조계종수정사,3
보덕사,738
계룡사계고택,125
안면암부상탑,412
직산향교,161
나라굿당,397
남방제성지,50
대련사,101
도원대학당,323
김대건신부생가지,24
진충사,22
약사사,1026
홍주향교,127
당진안국사지매향암각,22
수암사,182
토정이지함선생묘,63
도인사,142
연산향교,305
용봉사,410
보덕사,738
계암고택,43
삼덕사,108
숭의사,21
내원사,3378
무량사,1773
충장사,729
홍주사,24
효심사,23
용화사,3147
쌍룡사,60
아산향교,577
안국사지석불입상,36
구절암,68
한마음선원공주지원,15
천왕사,1153
아산맹씨행단,225
용강서원,336
혜명사,31
용수사,243
황무실성지,56
안정사,387
구산사,107
600고지전승탑,9
태학사,843
윤봉길의사생가,274
군자정,795
안국사,1123
법룡사,80
충곡서원,124
안국사지석탑,79
영주사,54
천흥사지오층석탑,72
공주향교,1267
석성향교,268
능파사,42
보명사,154
정순왕후생가,103
구한일은행강경지점,669
사비문,88
보리사,1198
동심사,64
임존성,727
금산행정의은행나무,90
고룡사,15
보원사지오층석탑,119
대흥향교,230
쌍지암,37
조병옥박사생가,50
고산사,329
유봉영당,74
진산향교,377
죽림서원,562
서산향교 은행나무,110
정혜사,807
천수암,203
무명용사기념상,192
세존정사,720
서원사,102
죽사,726
영산암,388
덕산온천지구유,2
법왕사,259
은석사,79
일불사,14
태국사,70
공주우금치전적,48
석련사,13
부여관북리백제유적,650
봉서사,198
오천향교,248
결성향교,300
예산향교,921
도미부인사당,110
오봉사,93
신암사,43
서천향교,278
구수사,7
부여구두래일원,240
선림사,393
문수사금동여래좌상,80
화암사,2996
백운사,1411
천불사,274
태고사대웅전,169
고란사,1656
천안성거산위례성,28
옛공주읍사무소,98
안곡사,23
구경정,29
공주구룡사지,41
덕림병사,12
대윤사,11
영산암,388
천성암,22
보령향교,224
화암서원,219
청양도림사지,38
청양고추문화마을,731
대길사,4
보광사,3232
망일사,22
동광사,54
백운사,1411
송천사,30
부여송국리유적,218
태화사,228
고성사,166
강당사,83
청양향교,423
소근진성,89
황운사,3
온주아문및동헌,28
비인5층석탑,35
개명사,11
금룡암,62
금강사,1541
해미향교,384
팔충사,12
보광사,3232
공주반죽동당간지주,91
노성향교,248
수덕사견성암,181
계룡산중악단,254
임천향교,81
서천이하복고택,144
용담사,390
석천암,410
가탑사,6
두계사,4
병천순대거리,2096
ROAD1950,1195
천북굴단지,2640
우렁이박사,1236
해어름카페,1151
장원막국수,2886
박순자아우내순대,616
두정동먹자골목,4169
몽산포제빵소,809
에어산,1453
딴뚝통나무집식당,1040
솥뚜껑매운탕,1621
아레피,1108
소복갈비,906
엔학고레,2113
카페피어라,2252
이고집만두,5535
마들렌,217890
목화반점[중식],184
충남집순대,3387
호수매운탕,6552
커피인터뷰파도리,1757
응봉상회,710
엄가네시골집,614
로드1950,4258
바이더오,1295
꽁당보리밥배방점,127
바이더오,1295
이숲,8726
몽상가인,979
동해원[중식],72
카페온담,1554
종가면옥,341
핀스커피,1197
청화집,516
카페인주,3813
다원,60139
승지원,546
대흥식당,978
수미정본점,65
곰골식당,894
방가삼대 얼큰한 뼈해장국,391
선유원,333
나문재카페,605
애월담,618
카페루,1959
한일식당,1187
숟가락반상마실천안본점 [한식],97
웜사이트,5445
천수만꽃게장,222
우즈베이커리카페신정호점,13
학화호도과자천안본점,121
한우가좋은날,130501
육화미본점,143
신태루[중식],53
강경해물칼국수,504
슈엔본점 [중식],20
시골통닭,7260
갱스커피,516
광시한우마을거리,58
방포수산,490
트레블브레이크커피,566
무드빌리지,2244
전통궁중칼국수,199
망향비빔국수천안점,53
피탕김탕,997
이봉원의봉짬뽕[중식],37
더크루즈,715
교토리,731
삼우갈비,559
루베아,512
북한강쭈꾸미,1074
보령우유창고,1692
솔내음,4883
피양옥,1126
카페아일,2351
밀리앤코,418
짬뽕지존본점 [중식],102
내당한우,257
산장가든,2036
베이커리밤마을,9350
전통딴뚝칼국수,567
원산도커피,2158
사네카페,5188
병천쌍둥이네순대,174
춘소커피,789
매향,3687
신관짬뽕[중식],159
숲너울,619
뮤지엄B,4352
덕수식당,1264
알바노,941
죽순산장,235
밥상차려주는집[한식],27926
카르멜인포레스트,107
용천가든,402
유가네칼국수,657
영인산마루,116
코쿠미아산신정호수점,9
꽃돼지국밥,6708
시장정육점식당,445
백반의신서산불고기[한식],438
해물상회,8455
반월소바,823
좋은아침페스츄리신정호수점,94
불티나꼬막짬뽕[중식],16
장칼국수,94542
명성각[중식],17
오양손칼국수,454
태조숯불석갈비,68
카페엠99,109
카페모월,723
마젠타,10927
취팔선객잔[중식],168
백제해장국,961
더레이크스토리,523
할리우드,62591
동가룰가든,162
석산장,334
K카페,99777
화담원신정호점,41
큰마을영양굴밥,224
매주리커피,479
배나무숲,2205
홍기와쭈꾸미,360
카페목천,2814
선창횟집,2691
길목식당[중식],31
고바우순두부쌈장,124
원골식당,396
옛날우렁이식당,973
동학사초가집,178
진원소우천안백석점,24
청당정원,180
경복궁천안점,43
지씨브레드,379
마세오른,393
카페안낙,679
마리스커피,798
오월의꽃수레[한식],18
쌍용수산시장,199
왕서방중화요리[중식],27
태능초가집갈비,246
백종원국밥거리,2444
이우철한방누룽지삼계탕천안본점,326
라루체,2151
천지연천안시청점,25
장춘닭개장,200
유양창고,671
신사우물갈비본점,160
광명만두본점,475
제주미작,658
엔타스시,636
촌장골,479
결성칼국수,1030
보령우유창고,1692
신정식당,4164
봉평장터,751
신화수산,4623
더올드밀아산점,1
높은댕이,664
카페간월,769
논두렁민물매운탕,81
뚝방촌,30
꽃게와꽃게집,114329
호호아줌마,952
레이크힐제빵소,289
긴자천안시청점 [일식],10
고려옥,97
현대옥천안백석점,38
반월소바,823
부자떡집,729
은행나무집,1968
눈들재,808
서동한우본점,95
수라원,283
백설농부,1103
미식가,63906
티볼리,24223
초록델리하우스,1
공주집,1858
시골집,103431
병천부부순대,475
이우철한방누룽지삼계탕백석직영점,75
풍세커피,847
백사장수산물어시장식당,41
수림정천안점,3
파인그로브,551
빙빙반점[중식],62
도고창고카페,463
타타스베이글,3295
고구려,53809
김가네사골수제비,180
너구리의피난처,388
삽다리칼국수,338
병천전통순대본점,112
노커베이커리카페,493
60년전통예산장터국밥,104
스시린,747
백마강참숯민물장어천안점,1
류가본가,200
상무초밥천안신불당점,35
하루가,838070
카페드하리,534
연꽃이야기,22314
동원정,164
롱디커피,965
카페로우,34101
샤브마니아천안신방점,32
제일해물칼국수,26054
가루실가든,90
명성불고기,3704
메밀꽃,23037
비츠카페,1520
박군자진주냉면아산점,20
원조뚝배기식당,3695
온더기와,25000
염치정육점식당,30
만세튀김,6350
명량노을지는갯마을편태안본점,1
화덕으로간고등어,626
시유당,427
원산도명가,156
짬뽕지존쌍용점 [중식],24
대성식관,137
산마루가든,246
이화원프라이빗,249
새이학가든,159
나인블럭LAKE천안업성점,42
커피버스터,1609
초서,5688
서유기짬뽕[중식],42
해어름카페,1151
원풍식당,313
백화산가든[한식],37
대천키조개삼합,2872
대안정육점식당,135
진국집,200
보경이네,15609
온천손칼국수,2095
청운식당[중식],22
비브레이브천안점,74
통삼국본점,136
망향비빔국수아산점,28
신준호카페,344
산내들,2515
홍북식당,156
예가,63427
서산회관,2981
배가짬뽕[중식],10440
미성삼색장어,51
삽교호관광지,710
독립기념관,13465
상화원,2285
청산수목원,2088
안면도쥬라기박물관,965
천안축구센터,818
삽교호놀이동산,2447
태안세계튤립축제,1356
백제문화단지,3583
유구색동수국정원,1662
장항스카이워크,2115
국립부여박물관,2080
개화예술공원,1589
중앙호수공원,20042
국립공주박물관,2215
롯데시네마천안불당,546
피나클랜드,1553
CGV천안펜타포트,116
천안예술의전당,1385
천안박물관,863
아미미술관,4394
계룡세계군문화엑스포,4194
삽교호함상공원,858
태안빛축제,1718
선샤인랜드,3331
CGV천안시청,657
세계꽃식물원,1281
홍성남당항대하축제,730
천안상록리조트,279
금강신관공원,1285
장고항실치축제,313
모나무르,1415
아산생태곤충원,395
메가박스천안,1700
CGV당진,1209
코리아플라워파크,1556
부여서동연꽃축제,804
사랑나무,4892
석장리박물관,962
모나무르,1415
신정호유원지,152
보령석탄박물관,449
천안삼거리공원,1572
보령머드축제,4464
메가박스홍성내포,232
CGV천안터미널,163
롯데시네마아산터미널,667
금강하구둑관광단지,71
예산장터삼국축제,437
롯데시네마서산,759
장영실과학관,696
금산인삼축제,1080
홍성남당항새조개축제,572
명품칠갑산얼음분수축제,754
온양민속박물관,961
죽도관광지,3646
천안홍대용과학관,548
태안꽃박람회,2058
소노벨천안오션어드벤처,710
CGV서산,1463
CGV천안,538
2022보령해양머드박람회,3293
연산문화창고,974
탑정호수변생태공원,618
연미산자연미술공원,800
신방공원,1088
한산모시관,451
당진전력문화홍보관,44
백제문화제공주,3014
청수호수공원,961
성정공원,2103
롯데시네마당진,1111
유관순열사기념관,507
너티차일드천안점,89
도솔광장,636
공주시립박찬호야구장,22
보령에너지월드,1029
만리포해수욕장전망대,406
점핑고신불당점,2
오션어드벤처,2743
천안생활체육공원,831
안면도백사장대하축제,86
선장축구장,122
속동전망대,325
예산황새공원,843
서동요오픈세트장,26
계룡산자연사박물관,137
메가박스공주,1363
천안타운홀전망대,472
구드래조각공원,350
고운식물원,402
보령해저터널홍보관,178
한화이글스서산경기장,26
윤봉길의사기념관,1978
현대자동차문화관,77
봉서홀,392
둔포체육공원,72
보령문화의전당,1239
삽교호바다공원,350
천안자동차극장,390
미스터션샤인촬영지(선샤인랜드),1194
천안시민체육공원,1231
백제군사박물관,410
칠지공원,238
선샤인스튜디오,2329
서산국화축제,287
예산시네마,1971
상록리조트상록랜드,173
당림미술관,304
CGV홍성,350
고대지구근린공원,180
계룡문화예술의전당,199
의좋은형제공원,550
서천생태공원,744
홍예공원,970
쥬쥬피아,148
서천홍원항자연산전어꽃게축제,313
선장포노을공원,109
장항항수산물꼴갑축제,51
꽃지해안공원,1103
신두리사구센터,758
합덕수리민속박물관,251
천안야구장,2903
리각미술관,304
기지시줄다리기박물관,152
노라쥬,113
오룡웰빙파크,53
청양군목재문화자연사체험관,253
스플라스워터파크,1795
지산공원,8888
점핑고,717
메가박스논산,321
남당노을전망대,448
천안아산역동광장,14
이안숲속,1091
충청남도역사박물관,156
보령태안도로홍보관,74
태안세계튤립꽃박람회,2114
동학사벚꽃길,1179
백마강생활체육공원,50
연무체육공원,179
독립기념관단풍나무숲길힐링축제,2099
웅천체육공원,246
이응노의집,2217
볼베어파크천안점,72
그림같은수목원,6213
안면도쥬라기공원,121
보령천북굴축제,525
아라리오갤러리,1270
논산강경젓갈축제,366
방아다리공원,2843
보령댐휴게공원,17
CGV논산,529
세계조롱박축제,114
정안천생태공원,451
나태주풀꽃문학관,632
국립해양문화재연구소국립태안해양유물전시관,530
바둑이네동물원,450
어사리노을공원,229
아산코미디홀,168
만리포전망타워,208
쉼이있는정원,11631
엠플레이파크,114
기러기공원,3471
광천생활체육공원,33
백제역사문화관,570
백제문화체험박물관,1400
스타비키즈카페,60
중앙공원,45320
에어바이킹포시즌파크,35
서천동백꽃주꾸미축제,68
계룡대야구장,44
아산그린타워,1564
금학생태공원,226
태안가을꽃축제,574
신정호물놀이장,108
양촌곶감축제,147
금산인삼관,358
천안아산역서광장,19
백제문화제부여,1809
GWP파크,152
태안기업도시라티에라홍보관,134
당진왜목마을해넘이해돋이축제,224
오마이갤러리,2220
석문공원축구장,23
용봉산시네마자동차극장,6
명보시네마,164
삽교호호수공원,278
영인산산림박물관,308
고남패총박물관,153
예당관광지,885
점핑몬스터내포점,16
보령물빛공원,68
태배전망대,97
백세건강공원,163
공주산성시장문화공원,5555
임립미술관,171
플레이원용곡점,2
서산류방택천문기상과학관,165
서대산드림리조트,77
KT&G상상마당논산,306881
보령머드박물관,667
서천군기벌포영화관,62
챌린지팜,3686
태안군별똥별하늘공원,41
논산베이스볼파크,124
탕정제스트베이스볼파크,5
한마음야구장,462
논산벌곡랜드,69
국립부여박물관사비마루,83
별주부갯벌체험,180
박첨지놀이전수관,14
금산지구별그림책마을,124
아산환경과학공원,362
청양고추구기자축제,250
공주석장리세계구석기축제,534
칠갑산장승공원,307
금산역사문화박물관,224
팜카밀레허브축제,167
합덕제수변공원,182
천안예술의전당미술관,223
청라은행마을단풍축제,1277
지상군페스티벌,226
무궁화학습원,96
국립생태원미디리움,284
합덕제연호문화축제,91
키존빌리지천안점,9
삼길포항방파제등대,201
예당호조각공원,435
성경전래지기념관,178
직산삼은저수지생활체육공원,119
성주산전망대,358
박찬호기념관,211
에덴힐스힐링파크,764
병암유원지,51
방축수영장,67
더스완천안아산점,29
능안생태공원,195
무한천체육공원,83
신정호공원,1854
상록리조트컨벤션센터,42
슈슈봉봉천안불당점,18
서천자연산광어도미축제,113
아산옹기전시체험관,59
당진문화예술학교,788
아장아장베이비카페,463
금산세계인삼엑스포,237
곰나루어린이수영장,65
무창포신비의바닷길대하전어축제,139
충청수영해안경관전망대,583
태안몽산포항주꾸미수산물축제,51
양촌가든유원지,29
간월호쉼터공원,29
보령머드테마파크,473
청년아지트나와유배방점,94
정림사지박물관,739
당진야구장,1673
백마강코스모스단지,93
별주부갯벌체험,180
신리체육공원,181
쁘띠베베,170
원골유원지,202
유류피해극복기념관,259
봉봉키즈천안아산점,10
도리파크,7795
주벅배전망대,57
백마강테마파크,286
한훈기념관,19
팔봉산감자축제,98
백제오감체험관,353
씨네큐천안불당점,16
까치내유원지,34
삽교호호수공원야구장,25
지중해관광농원,164
큐리키즈카페태안점,5
태안팜파스축제,551
부여세도방울토마토유채꽃축제,94
곰나루국민관광단지,364
쌍용동로데오거리,328
태안해안체험학습관,106
한여름밤의신정호별빛축제,4
재리쥬작은동물원,14
우정박물관,136
코리아플라워파크빛축제,247
예산해봄센터,5375
국립해양문화재연구소태안보존센터,22
바른풋살장,214
배방파인트리수영장,10
지산체육공원,1223
플레이랩천안점,51
아산신도시물환경센터축구장,630
화이트블럭천안창작촌,48
조이풀수영장,206
무창포타워,336
타요키즈카페당진점,5
천안박물관다다어린이체험관,122
쁘띠엘점프로이,9
연산대추축제,128
서동공원,4893
김종범사진문화관,124
꽃지해수욕장,10547
삼길포항,2142
몽산포해수욕장,2524
대천항,5862
만리포해수욕장,4143
남당항,5022
장고항,2982
무창포해수욕장,2979
홍원항,2275
신진항,494
춘장대해수욕장,2050
백사장항,2513
청포대해수욕장,1958
한진포구,1198
왜목마을해수욕장,1736
오천항,4474
천리포수목원,4700
안면도자연휴양림,1896
탑정호,6908
안면도,49330
영목항,2034
드르니항,1099
마검포항,505
영인산자연휴양림,915
몽산포항,559
원산도해수욕장,3893
예당저수지,3043
당암포구,283
간월도마을,552
파도리해수욕장,3063
안흥항,851
삼봉해수욕장,1468
마검포해수욕장,1043
원산도,8138
안섬포구,864
장항송림산림욕장,1507
달산포해수욕장,405
벌천포해수욕장,438
연포해수욕장,772
독산해수욕장,479
마량포구,816
학암포해수욕장,1089
무창포항,686
삼선산수목원,818
오봉산해수욕장,891
운여해변,972
서부두,1591
황금산,3781
태학산자연휴양림,662
계룡산국립공원동학사지구,92
성주산자연휴양림,737
온빛자연휴양림,1236
대산항,1179
오서산자연휴양림,849
희리산해송자연휴양림,302
천리포해수욕장,2205
신두리해수욕장,2913
강당골,779
바람아래해수욕장,439
샛별해수욕장,454
태안해안국립공원몽산포지구,20
구매항,486
미르섬,2410
신진도,1937
봉수산자연휴양림,445
밧개해수욕장,876
방포항,1040
방포해수욕장,1339
비인해수욕장,314
마섬포구,168
안면도수목원,2418
용봉산,3562
용현자연휴양림,508
만대항,602
삽교호,9572
염치저수지,292
용봉산자연휴양림,443
수락계곡,2566
궁리포구,427
공주산림휴양마을,528
파도리해식동굴,1569
칠갑산도립공원,351
남이자연휴양림,736
내포항,330
저두항,97
꾸지나무골해수욕장,460
마도방파제,207
용두해수욕장,679
용현계곡,953
어은돌해수욕장,390
왜목항,231
백사장해수욕장,21585
팔봉산,4983
용연저수지,1214
안면해수욕장,3420
장항항,477
대야도항,99
가야산,14997
도비도항,529
용무치항,167
칠갑산자연휴양림,234
천리포항,101
신진도방파제,192
냉풍욕장,418
채석포항,84
웅도,2279
초전항,201
대산항관리부두,28
갈음이해수욕장,164
아미산,5012
천흥저수지,306
오서산,3405
회변항,150
곰섬해수욕장,266
솔감저수지,41
칠갑산,6968
광덕산,6677
성구미포구,115
계룡저수지,1288
광덕산,6677
양촌자연휴양림,139
장삼포해수욕장,216
옥녀봉,9751
의항해수욕장,255
입암저수지,359
월랑저수지,170
마검포방파제,120
저두해수욕장,229901
만수산자연휴양림,110
백리포해수욕장,218
통개항,87
송악저수지,511
고풍저수지,339
계룡산국립공원갑사지구,116
풍전저수지,76
어은돌항,101
성암저수지,137
성주계곡,3389
구례포해수욕장,250
개목항,91
당진합덕제,618
황도,45543
양전저수지,124
장곰항,50
서천항,23
배방산,575
영인지,345
도고저수지,419
계룡산국립공원,1904
태안해양경찰서전용부두,4
고남저수지,179
국립예산치유의숲,227
구름포해수욕장,219
수룡항포구,50
몽대포구,65
사창해수욕장,235
대둔산자연휴양림,567
골정지,362
모월저수지,51
황금산몽돌해변,303
냉정지,87
옥산저수지,452
봉재저수지,162
수룡저수지,43
다사항,76
성내저수지,371
난지도해수욕장,243
성구미방파제,29
쌀조개섬,75
문방저수지,25
한천저수지,217
수철저수지,103
흑성산,1045
갈목해변,73
태안해안국립공원안면도지구,18
평택당진항중앙부두,52
천장호,1784
불장골저수지,457
용비저수지,52
기지포해수욕장,453
천북항,53
마정저수지,87
두여해수욕장,166
인평저수지,82
홍성호,933
대정저수지,193
보령항,130
계룡산국립공원신원사지구,42
태안항,60
송석항,37
가경주항,29
시장지,51
12폭포,39692
봉수산수목원,395
삼봉저수지,422
북면계곡,3896
가락바위소류지,80
대홍지,242
만리포항,105
송현저수지,123
백월산,775
동학사계곡,2523
축동지,26
작천계곡,123
도비도방파제,69
탄개항,18
고북지,4
음섬포구,149
중왕리수로,53
영인산,2345
황포항,116
천태저수지,69
모항저수지,101
보령호,362
동부제철부두,25
띠섬목해변,55
초대저수지,2305
입장저수지,12246
신휴저수지,59
항곡저수지,16
학암포방파제,116
죽림지,340
장안해수욕장,1640
덕산도립공원,428
마룡저수지,30
복심저수지,31
홍양저수지,89
몽대포방파제,0
방산지,13
