언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
일본어,완주군,전라북도,オソン韓屋村（오성한옥마을）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2810930,인문(문화/예술/역사),역사관광지,민속마을,43
일본어,전주시 완산구,전라북도,完山七峰（完山公園）（완산칠봉（완산공원））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2600926,자연,자연관광지,자연생태관광지,42
일본어,익산시,전라북도,益山?勒寺址 [ユネスコ世界遺産（文化遺産）]（익산 미륵사지 [유네스코 세계문화유산]）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282147,인문(문화/예술/역사),역사관광지,유적지/사적지,42
일본어,고창군,전라북도,?雲寺（高敞）（선운사（고창））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281169,인문(문화/예술/역사),역사관광지,사찰,37
일본어,고창군,전라북도,高敞支石墓博物館（고창고인돌박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1319541,인문(문화/예술/역사),문화시설,박물관,37
일본어,완주군,전라북도,松?寺（完州）（송광사（완주））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1424381,인문(문화/예술/역사),역사관광지,사찰,35
일본어,진안군,전라북도,馬耳山道立公園（마이산도립공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281664,자연,자연관광지,도립공원,34
일본어,정읍시,전라북도,武城書院［ユネスコ世界遺産（文化遺産）］（무성서원 [유네스코 세계문화유산]）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2610498,인문(문화/예술/역사),역사관광지,유적지/사적지,34
일본어,무주군,전라북도,?立テコンド?園（국립태권도원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1915885,인문(문화/예술/역사),문화시설,문화전수시설,33
일본어,완주군,전라북도,大屯山道立公園（全羅北道）（대둔산도립공원（전북））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594691,자연,자연관광지,도립공원,29
일본어,부안군,전라북도,彩石江（全北西海岸??家地質公園）（채석강（전북 서해안권 국가지질공원））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281649,자연,자연관광지,해안절경,29
일본어,고창군,전라북도,?の?鶴苑農場（보리나라 학원농장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1630045,인문(문화/예술/역사),산업관광지,기타,27
일본어,부안군,전라북도,?山半島?立公園（변산반도국립공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281646,자연,자연관광지,국립공원,25
일본어,익산시,전라북도,?立益山博物館（국립익산박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=824623,인문(문화/예술/역사),문화시설,박물관,25
일본어,순창군,전라북도,淳昌コチュジャン民俗村（순창고추장민속마을）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2655123,인문(문화/예술/역사),역사관광지,민속마을,24
일본어,무주군,전라북도,茂朱 ?裕山リゾ?ト（무주덕유산리조트）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281666,인문(문화/예술/역사),휴양관광지,관광단지,23
일본어,무주군,전라북도,安?寺（茂朱）（안국사（무주））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282066,인문(문화/예술/역사),역사관광지,사찰,22
일본어,무주군,전라북도,?裕山?立公園（本所、赤裳分所）（덕유산국립공원（본소_적상분소））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2010612,자연,자연관광지,국립공원,21
일본어,전주시 완산구,전라북도,梧木台と梨木台（오목대와 이목대）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1249040,인문(문화/예술/역사),역사관광지,유적지/사적지,21
일본어,부안군,전라북도,?蘇寺（扶安）（내소사（부안））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281682,인문(문화/예술/역사),역사관광지,사찰,20
일본어,전주시 덕진구,전라북도,全州韓紙博物館（전주한지박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282346,인문(문화/예술/역사),문화시설,박물관,20
일본어,임실군,전라북도,任?チ?ズテ?マパ?ク（임실치즈테마파크）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2814710,인문(문화/예술/역사),휴양관광지,테마공원,20
일본어,부안군,전라북도,セマングム（새만금）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=794775,인문(문화/예술/역사),휴양관광지,관광단지,19
일본어,전주시 덕진구,전라북도,韓?ソリ文化の殿堂（한국소리문화의전당）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1397666,인문(문화/예술/역사),문화시설,공연장,19
일본어,정읍시,전라북도,??寺（井邑）（내장사（정읍））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281671,인문(문화/예술/역사),역사관광지,사찰,18
일본어,남원시,전라북도,南原?光?地（남원관광단지）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282081,인문(문화/예술/역사),휴양관광지,관광단지,18
일본어,무주군,전라북도,茂朱?裕山リゾ?トスキ?場（무주덕유산리조트 스키장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282205,레포츠,육상 레포츠,스키/스노보드,18
일본어,전주시 완산구,전라북도,全州 南部市場（전주 남부시장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1963880,쇼핑,쇼핑,상설시장,18
일본어,군산시,전라북도,仙遊島（선유도）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1413185,자연,자연관광지,섬,18
일본어,전주시 덕진구,전라북도,全州ワ?ルドカップ競技場（전주월드컵경기장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282242,레포츠,육상 레포츠,경기장,16
일본어,김제시,전라북도,金山寺（金堤）（금산사（김제））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282112,인문(문화/예술/역사),역사관광지,사찰,16
일본어,군산시,전라북도,群山近代?史博物館（군산근대역사박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1984204,인문(문화/예술/역사),문화시설,박물관,15
일본어,익산시,전라북도,益山 王宮里遺跡 [ユネスコ世界遺産（文化遺産）]（익산 왕궁리유적 [유네스코 세계유산]）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594575,인문(문화/예술/역사),역사관광지,유적지/사적지,15
일본어,무주군,전라북도,茂朱九千洞?光特?（무주 구천동 관광특구）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1825209,인문(문화/예술/역사),휴양관광지,관광단지,15
일본어,고창군,전라북도,?雲山（全北西海岸?家地質公園）（선운산（전북 서해안 국가지질공원））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594636,자연,자연관광지,산,14
일본어,정읍시,전라북도,井邑詞文化公園（정읍사문화공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594615,인문(문화/예술/역사),휴양관광지,공원,14
일본어,정읍시,전라북도,玉井湖イワギクテ?マ公園（옥정호 구절초테마공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1989790,자연,자연관광지,자연생태관광지,14
일본어,임실군,전라북도,任?チ?ズテ?マパ?ク（임실치즈테마파크）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594671,인문(문화/예술/역사),휴양관광지,테마공원,14
일본어,전주시 완산구,전라북도,全州?史博物館（전주역사박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282345,인문(문화/예술/역사),문화시설,박물관,13
일본어,고창군,전라북도,文殊寺（高敞）（문수사（고창））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2034909,인문(문화/예술/역사),역사관광지,사찰,12
일본어,남원시,전라북도,ペムサ谷（뱀사골계곡）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594624,자연,자연관광지,계곡,11
일본어,부안군,전라북도,開岩寺（개암사）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282054,인문(문화/예술/역사),역사관광지,사찰,11
일본어,고창군,전라북도,高敞邑城（고창읍성）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594646,인문(문화/예술/역사),역사관광지,성,11
일본어,정읍시,전라북도,羽化亭（??山）（우화정（내장산））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=669396,자연,자연관광지,호수,11
일본어,장수군,전라북도,傍花洞自然休養林?家族休暇村（방화동 자연휴양림_가족휴가촌）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2034115,자연,자연관광지,자연휴양림,11
일본어,전주시 완산구,전라북도,全州工芸品展示館（전주공예품전시관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282347,인문(문화/예술/역사),문화시설,전시관,10
일본어,부안군,전라북도,扶安?磁博物館（부안청자박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2593140,인문(문화/예술/역사),문화시설,박물관,10
일본어,익산시,전라북도,?石博物館（보석박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2660863,인문(문화/예술/역사),문화시설,박물관,10
일본어,장수군,전라북도,論介祠堂（義岩祠）（논개사당（의암사））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594702,인문(문화/예술/역사),역사관광지,유적지/사적지,10
일본어,순창군,전라북도,淳昌郡 釵?山吊橋（순창군 채계산 출렁다리）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2658295,인문(문화/예술/역사),건축/조형물,다리/대교,10
일본어,군산시,전라북도,群山 新興洞 日本式家屋（?津家屋）（군산 신흥동 일본식가옥（히로쓰 가옥） ）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1412982,인문(문화/예술/역사),역사관광지,유적지/사적지,10
일본어,전주시 완산구,전라북도,御?博物館（어진박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2382835,인문(문화/예술/역사),문화시설,박물관,10
일본어,임실군,전라북도,クダム村（구담마을）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594674,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,9
일본어,부안군,전라북도,??山（내변산）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2593257,자연,자연관광지,산,9
일본어,군산시,전라북도,群山?開井面  ?日本人農場倉庫<br>（군산 개정면 구 일본인농장 창고）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2539077,인문(문화/예술/역사),역사관광지,유적지/사적지,9
일본어,김제시,전라북도,金堤 碧骨堤（김제 벽골제）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594818,인문(문화/예술/역사),역사관광지,유적지/사적지,9
일본어,무주군,전라북도,茂朱ヤマブドウワイン洞窟（무주머루와인동굴）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1826082,인문(문화/예술/역사),산업관광지,기타,8
일본어,군산시,전라북도,?浦海洋テ?マ公園（진포해양테마공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1569885,인문(문화/예술/역사),휴양관광지,테마공원,8
일본어,군산시,전라북도,銀波湖公園（銀波?民?光地）（은파호수공원（은파국민관광지））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1139127,인문(문화/예술/역사),휴양관광지,공원,8
일본어,고창군,전라북도,兜率庵（高敞）（도솔암（고창））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1002576,인문(문화/예술/역사),역사관광지,사찰,8
일본어,전주시 덕진구,전라북도,全州韓屋レ?ルバイク（전주한옥레일바이크）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2436599,레포츠,육상 레포츠,트래킹,7
일본어,완주군,전라북도,完州 ??文化芸術村（완주 삼례문화예술촌）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2476066,인문(문화/예술/역사),산업관광지,기타,7
일본어,진안군,전라북도,銀水寺（은수사）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594653,인문(문화/예술/역사),역사관광지,사찰,7
일본어,부안군,전라북도,蝟島海水浴場（위도해수욕장）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282049,자연,자연관광지,해수욕장,7
일본어,무주군,전라북도,赤裳山史庫址（적상산사고지）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2371968,인문(문화/예술/역사),역사관광지,고궁,7
일본어,전주시 완산구,전라북도,?立全州博物館（국립전주박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282283,인문(문화/예술/역사),문화시설,박물관,7
일본어,무주군,전라북도,?川書院（덕천서원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1825277,인문(문화/예술/역사),역사관광지,유적지/사적지,7
일본어,고창군,전라북도,兜率?谷（?雲山）(도솔계곡（선운산） ),https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281836,자연,자연관광지,계곡,6
일본어,순창군,전라북도,剛泉寺（淳昌）（강천사（순창））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1604602,인문(문화/예술/역사),역사관광지,사찰,6
일본어,정읍시,전라북도,井邑 披香亭（정읍 피향정）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2563414,인문(문화/예술/역사),역사관광지,유적지/사적지,6
일본어,정읍시,전라북도,??山ケ?ブルカ?（내장산 케이블카）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=672874,인문(문화/예술/역사),산업관광지,기타,6
일본어,고창군,전라북도,高敞パンソリ博物館（고창판소리박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594648,인문(문화/예술/역사),문화시설,박물관,6
일본어,김제시,전라북도,望海寺（망해사）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594633,인문(문화/예술/역사),역사관광지,사찰,5
일본어,전주시 완산구,전라북도,全州?統酒博物館（전주 전통술박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1268131,인문(문화/예술/역사),문화시설,박물관,5
일본어,군산시,전라북도,月明公園（월명공원）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1713091,인문(문화/예술/역사),휴양관광지,공원,5
일본어,김제시,전라북도,碧骨堤農耕文化博物館（벽골제 농경문화 박물관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594824,인문(문화/예술/역사),문화시설,박물관,5
일본어,김제시,전라북도,聖母庵（金堤）（성모암（김제））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594635,인문(문화/예술/역사),역사관광지,사찰,5
일본어,완주군,전라북도,高山自然休養林（고산자연휴양림）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1630050,자연,자연관광지,자연휴양림,5
일본어,군산시,전라북도,李永春家屋（이영춘가옥）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1421665,인문(문화/예술/역사),역사관광지,생가,4
일본어,전주시 완산구,전라북도,剛庵書芸館（강암서예관）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281884,인문(문화/예술/역사),문화시설,전시관,4
일본어,익산시,전라북도,益山 古都里 石造如?立像（익산 고도리 석조여래입상）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1594598,인문(문화/예술/역사),역사관광지,유적지/사적지,4
