순위,관광지명,주소,분류,
50,정읍역,전북 정읍시 서부산업도로 305-0,교통시설,29082
51,채계산출렁다리,전북 순창군 담순로 2172-33,기타관광,29049
52,풍패지관,전북 전주시 완산구 충경로 59-0,역사유적지,28959
53,전주고속버스터미널,전북 전주시 덕진구 가리내로 70-0,교통시설,28315
54,선운산도립공원,전북 고창군 선운사로 158-6,자연공원,28044
55,군산근대역사박물관,전북 군산시 해망로 240-0,전시시설,27543
56,NC웨이브전주점A관,전북 전주시 완산구 전주객사5길 35-0,백화점,27087
57,동호해수욕장,전북 고창군 구동호1길 17-9,자연경관(하천/해양),26982
58,남원상록골프장,전북 남원시 월계길 11-0,육상레저스포츠,26798
59,미륵사지,전북 익산시 미륵사지로 362-0,역사유적지,26577
60,뱀사골계곡,전북 남원시,자연경관(산),25746
61,정읍구절초꽃축제,전북 정읍시,기타문화관광지,25098
62,고창읍성,전북 고창군,역사유적지,25061
63,옥정호구절초테마공원,전북 정읍시 청정로 926-59,도시공원,25046
64,태권도원,전북 무주군 무설로 1482-0,기타관광,24703
65,마이산,전북 진안군 마이산남로 367-0,자연경관(산),24597
66,한국소리문화의전당,전북 전주시 덕진구 소리로 31-0,공연시설,23166
67,초원사진관,전북 군산시 구영2길 12-1,기타문화관광지,22383
68,운일암반일암,전북 진안군,자연경관(산),22358
69,옥정호출렁다리휴장중(2023년03월중순개장예정),전북 임실군,기타관광,22285
70,홈플러스전주완산점,전북 전주시 완산구 기린대로 170-0,대형마트,22250
71,마이산탑사,전북 진안군 마이산남로 367-0,종교성지,22249
72,내장산골프앤리조트,전북 정읍시 첨단과학로 476-0,육상레저스포츠,22246
73,익산보석박물관,전북 익산시 호반로 8-0,전시시설,21740
74,라마다호텔군산,전북 군산시 대학로 400-0,호텔,21715
75,고창CC,전북 고창군 애향갯벌로 70-0,육상레저스포츠,21371
76,써미트컨트리클럽,전북 진안군 부귀로 72-161,육상레저스포츠,21135
77,상떼힐익산CC,전북 익산시 무왕로38길 111-0,육상레저스포츠,20934
78,롯데마트정읍점,전북 정읍시 벚꽃로 85-0,대형마트,20350
79,격포해넘이해수욕장,전북 부안군,자연경관(하천/해양),20279
80,홈플러스김제점,전북 김제시 금성로 114-0,대형마트,20234
81,학원농장,전북 고창군 학원농장길 158-6,농/산/어촌체험,19767
82,석정힐CC,전북 고창군 석정2로 192-0,육상레저스포츠,19273
83,모악산도립공원,전북 김제시,자연공원,19192
84,전주시외버스공용터미널,전북 전주시 덕진구 가리내로 30-0,교통시설,19101
85,이마트에코시티점,전북 전주시 덕진구 세병서로 9-0,대형마트,19092
86,순창용궐산하늘길,전북 순창군,기타관광,18756
87,엠카운티스파힐스CC,전북 김제시 온천길 37-0,육상레저스포츠,18677
88,신중앙시장,전북 전주시 완산구 태평5길 29-19,시장,18657
89,전주샹그릴라CC,전북 임실군 수지로 559-90,육상레저스포츠,18514
90,강천사,전북 순창군 강천산길 270-0,종교성지,17966
91,국립신시도자연휴양림,전북 군산시 신시도길 134-3,자연공원,17959
92,무주반디랜드,전북 무주군 무설로 1324-0,도시공원,17796
93,내장산케이블카,전북 정읍시 내장산로 1179-11,기타관광,17728
94,격포항수산시장,전북 부안군 격포중앙길 28-4,시장,17479
95,골프존카운티 무주,전북 무주군 장무로 1537-21,육상레저스포츠,17354
96,베스트웨스턴플러스전주호텔,전북 전주시 완산구 현무1길 41-0,호텔,17323
97,홈플러스익산점,전북 익산시 무왕로 1035-0,대형마트,17229
98,금강하구둑,전북 군산시 철새로 120-0,기타관광,17147
99,김제역,전북 김제시 두월로 198-0,교통시설,17142
100,호남제일문,전북 전주시 덕진구,기타관광,17068
